symbol,assetid_norgate,securityname_norgate,exchange_name,exchange_name_full,base_type,subtype1,subtype2,subtype3,financial_summary,business_summary,first_quoted_date
AADR,508433,AdvisorShares Dorsey Wright ADR ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"WCM/BNY Mellon Focused Growth ADR ETF (the Fund) is an exchange-traded fund. The Fund's investment objective is long-term capital appreciation above international benchmarks, such as the MSCI EAFE Index and the BNY Mellon Classic ADR Index. The Fund provides large-capital growth portfolio for the non-United States universe. The Fund focuses on sectors, such as technology, healthcare and consumer staples/discretionary. The MSCI EAFE Index is an unmanaged free float-adjusted market capitalization index that is designed to measure the equity market performance of developed markets, excluding the United States and Canada. AdvisorShares Investments, LLC is the advisor of the Fund. WCM Investment Management is the sub-advisor and portfolio manager of the Fund.",21/7/10
AAXJ,406759,iShares MSCI All Country Asia ex Japan ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares MSCI All Country Asia ex Japan ETF (the Fund), formerly The iShares MSCI All Country Asia ex Japan Index Fund, is an exchange-traded fund (ETF). The Fund seeks investment results that correspond generally to the price and yield performance, of the MSCI All Country Asia ex Japan Index (the Index). The Index is a free-float adjusted market capitalization index designed to measure equity market performance of the 12 countries, such as Australia, China, Honk Kong, India, Indonesia, Malaysia, New Zealand, the Philippines, Singapore, South Korea, Taiwan and Thailand. The Fund generally invests at least 90% of its assets in securities of the Underlying Index and in depositary receipts representing securities of the Underlying Index. BlackRock Fund Advisors (BFA) serves as the investment advisor to the Fund.",15/8/08
ACWI,387414,iShares MSCI ACWI ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares MSCI ACWI ETF (the Fund), formerly iShares MSCI ACWI Index Fund, is an exchange-traded fund (ETF). The Fund seeks investment results that correspond generally to the price and yield performance of the MSCI All Country World Index (the Index). The Index is a free float-adjusted market capitalization index designed to measure the combined equity market performance of developed and emerging markets countries. Components primarily include consumer discretionary, consumer staples, energy, financial, industrials and information technology companies. The Fund generally invests at least 90% of its assets in securities of the Index and in depositary receipts representing securities of the Index. BlackRock Fund Advisors is the Fund's investment adviser.",28/3/08
ACWX,380535,iShares MSCI ACWI ex US ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,31/3/08
AFK,403051,VanEck Africa ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Market Vectors Africa Index ETF (the Fund) seeks to replicate as closely as possible the price and yield performance of the Dow Jones Africa Titans 50 Index (the Index). The Index is a rules-based, modified capitalization-weighted, float-adjusted index consisting of publicly traded companies that are headquartered in Africa or that generate the majority of their revenues in Africa. The Index is calculated by Dow Jones Indexes. The Index comprises a diversified group of 50 companies. Companies eligible for inclusion in Index should be headquartered or generating majority of revenues in Africa with market cap exceeding $200 million; should have three-month average daily turnover greater than $1 million, and should be traded on domestic or international stock exchanges. The Fund is passively managed and may not hold each Index component in the same weighting as the Index. The Fund's investment advisor is Van Eck Associates Corporation. ",14/7/08
AGG,125286,iShares Core US Aggregate Bond ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares Core Total US Bond Market ETF, formerly iShares Barclays Aggregate Bond Fund (the Fund) seeks investment results that correspond generally to the price and yield performance, of the total United States investment grade bond market as defined by the Barclays Capital U.S. Aggregate Bond Index (the Index). The Index provides a measure of the performance of the United States investment grade bonds market, which includes investment grade the United States Government bonds, investment grade corporate bonds, mortgage pass-through securities and asset-backed securities that are publicly offered for sale in the United States. The securities in the Index must have at least one year remaining to maturity. The Fund generally seeks to track the performance of the Index by investing approximately 90% of its assets in the bonds represented in the Index and in securities that provide substantially similar exposure to securities in the Index. ",26/9/03
AGQ,431346,ProShares Ultra Silver ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"ProShares Ultra Silver (the Fund) seeks to provide daily investment results that correspond to twice (200%) the daily performance as measured by the United States dollar fixing price for delivery in London. The Fund will not directly or physically hold the underlying silver, but instead will seek exposure to silver through the use of financial instruments, whose value is based on the underlying price of silver to pursue their investment objective. The benchmark price of silver will be the United States dollar price of silver bullion as measured by the London fixing price per troy ounce of unallocated silver bullion for delivery in London through a member of the London Bullion Market Association (LBMA) authorized to effect such delivery. The Fund's investment advisor is ProShare Advisors LLC.",4/12/08
AGZ,424786,iShares Agency Bond ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,7/11/08
AIA,354094,iShares Asia 50 ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares Asia 50 ETF (the Fund), formerly iShares S&P Asia 50 Index Fund, is an exchange-traded fund (ETF). The Fund seeks investment results that correspond generally to the price and yield performance of the S&P Asia 50 Index (the Index). The Index is a free float-adjusted, market capitalization-weighted index that is designed to measure the performance of the 50 leading companies from four Asian markets: Hong Kong, Singapore, South Korea and Taiwan. The Fund invests in a representative sample of securities included in the Index that collectively has an investment profile similar to the Index. Due to the use of representative sampling, the Fund may or may not hold all of the securities that are included in the Index. The Fund's investment advisor is BlackRock Fund Advisors, which is indirectly owned by BlackRock, Inc. ",16/11/07
AIVI,208314,WisdomTree International AI Enhanced Value ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"WisdomTree International Dividend ex-Financials Fund (the Fund), formerly WisdomTree International Dividend Top 100 Fund, seeks investment results that closely correspond to the price and yield performance of the WisdomTree International Dividend ex-Financials Index (the Index). The Index measures the performance of high dividend-yielding international stocks outside the financial sector. The Index consists primarily of large and mid-capitalization companies incorporated in Europe, Japan, Australia, New Zealand, Hong Kong and Singapore that pass WisdomTree Investments market capitalization, liquidity and selection requirements. The Fund's investment advisor is WisdomTree Asset Management, Inc., a wholly owned subsidiary of WisdomTree Investments, Inc. Its sub-advisor is Mellon Capital Management Corporation.",16/6/06
